Nome;Unidade;quantidade
SUCO AÇAÍ COM LARANJA 300 ML;UN;0
COPO AÇAÍ 500ML*;UN;0
BOMBOM DE AÇAI COM CHOCOLATE 70%;UN;0
BOMBOM DE AÇAI COM CHOCOLATE BRANCO;UN;0
CASQUINHA AÇAI;UN;0
CASQUINHA IOGURTE;UN;0
CASCÃO AÇAI*;UN;0
CASCÃO IOGURTE*;UN;0
COPO AÇAÍ 300ML*;UN;0
SUCO AÇAÍ COM LARANJA 500 ML;UN;0
BOMBOM DARK COBERTO CHOCOLATE;UN;0
POTE MISTO 1 LITRO;UN;0
COPO 120 ML CAFE TRUFADO;UN;0
COPO 120 ML CHOCOLATE BELGA;UN;0
COPO 120 ML DOCE DE LEITE;UN;0
COPO 120 ML IOGURTE C/ AMARENA;UN;0
COPO 120 ML MANGA ZERO;UN;0
COPO 120 ML BANANA CARAMELIZADA;UN;0
COPO 120 ML CUPUAÇU;UN;0
CESTINHA  AÇAÍ;UN;0
COOKIE COM GELATO;UN;0
CAFE TRUFADO 1/2 CP210;UN;0
CHOCOLATE BELGA 1/2 CP210;UN;0
DOCE DE LEITE 1/2 CP210;UN;0
IOGURTE C/ AMARENA 1/2 CP210;UN;0
MANGA ZERO 1/2 CP210;UN;0
COPO 210 ML BANANA CARAMELIZADA;UN;0
CUPUAÇU 1/2 CP210;UN;0
COPO MISTO 300ML*;UN;0
COPO MISTO 500ML*;UN;0
CASQUINHA MISTA  AÇAÍ COM IOGURTE;UN;0
CASCÃO MISTO AÇAÍ COM IOGURTE*;UN;0
COPO IOGURTE 300ML*;UN;0
COPO IOGURTE 500ML*;UN;0
COPO 120 ML COOKIES & CREAM;UN;0
COOKIES & CREAM 1/2 CP210;UN;0
IOGURTE C/ AMARENA POTE 240 ML;UN;0
COOKIES & CREAM POTE 240 ML;UN;0
CHOCOLATE BELGA 240ML;UN;0
MILHO VERDE 240ML;UN;0
COPO 210 ML PAÇOCA;UN;0
PAÇOCA 240ML;UN;0
FONDUE;UN;0
COPO 120 ML MORANGO;UN;0
COPO 120 ML AÇAÍ ZERO;UN;0
COPO 120 ML LIMAO SICILIANO;UN;0
COPO 120 ML MILHO VERDE;UN;0
CAFE TRUFADO 240ML;UN;0
DOCE DE LEITE POTE 240 ML;UN;0
BOMBOM BAUNILHA COBERTO COM CHOCOLATE;UN;0
MORANGO 1/2 CP210;UN;0
AÇAÍ ZERO 1/2 CP210;UN;0
LIMÃO SICILIANO 1/2 CP210;UN;0
CREME  1/2 CP210;UN;0
MILHO VERDE 1/2 CP210;UN;0
CESTINHA MISTA  AÇAÍ COM IOGURTE;UN;0
CESTINHA IOGURTE NATURAL;UN;0
BANANA;UN;0
MORANGO  (FRUTA);UN;0
GRANOLA;UN;0
FAROFA DE PAÇOCA;UN;0
LEITE CONDENSADO;UN;0
CALDA DE MARACUJA;UN;0
CALDA DE FRUTAS VERMELHAS;UN;0
CALDA DE AMARENA;UN;0
CALDA DE CHOCOLATE;UN;0
CALDA DE BANANA CARAMELIZADA;UN;0
LEITE EM PÓ;UN;0
MEL;UN;0
COPO 120 ML PAÇOCA;UN;0
CARAMELO SALGADO POTE 240 ML;UN;0
MANGA ZERO 240ML;UN;0
PISTACHE POTE 240 ML;UN;0
AÇAI NATURAL POTE 250 ML;UN;0
CALDA DE AMARENA 1 L;UN;0
COPO 120 ML PISTACHE;UN;0
COPO 120 ML CARAMELO SALGADO;UN;0
BIJU ADICIONAL;UN;0
CASCÃO AVULSO (GD);UN;0
TANGERINA 240ML;UN;0
CUPUAÇU 240ML;UN;0
SUCO AÇAÍ 300 ML;UN;0
SUCO  AÇAÍ 500 ML;UN;0
MORANGO 240ML;UN;0
IOGURTE FR VERM ZERO POTE 240 ML;UN;0
AÇAI ZERO 240ML;UN;0
CASCÃO PISTACHE GOURMET;UN;0
CASQUINHA PISTACHE GOURMET;UN;0
COPO 210 PISTACHE GOURMET;UN;0
COPO 120 PISTACHE GOURMET;UN;0
CARAMELO SALGADO  1/2 CP210;UN;0
PISTACHE 1/2 CP210;UN;0
FRUTAS VERMELHAS ZERO 1/2 CP210;UN;0
COPO 120 ML FRUTAS VERMELHAS ZERO;UN;0
IOGURTE C/FV ZERO INDIVIDUAL;UN;0
MANGA ZERO INDIVIDUAL;UN;0
BAUNILHA PET GELATO;UN;0
ALFARROBA PET GELATO;UN;0
